id,Z_1,food_exp,cal_int
1,1,158.7278227,693.6934748
2,1,150.0675813,605.0329959
3,0,104.7654772,600.1705716
4,0,100.7864045,600.2488983
5,1,200.4880851,605.4606104
6,1,150.5853307,605.3904527
7,1,150.0347479,608.1465765
8,0,102.9506799,600.0427292
9,0,102.1812717,600.2674927
10,1,150.9619643,605.2485688
11,0,100.0978411,600.3921555
12,0,100.1579286,600.2206892
13,1,150.9726056,625.2431745
14,1,159.8143178,611.8358655
15,0,100.4485178,601.8146227
16,0,100.1470197,600.0290839
17,1,150.0026078,2137.163345
18,0,102.9664016,610.3559827
19,1,152.5603622,626.8611547
20,1,167.8181908,605.0088401
21,0,125.1986347,600.5731383
22,0,100.7299908,606.8231335
23,1,167.4045244,607.6376389
24,1,151.002894,609.5851947
25,1,150.2258008,609.3767066
26,0,100.1547364,600.3369395
27,0,100.4661395,600.5342322
28,1,151.6494712,605.0986997
29,0,100.941498,615.1589256
30,0,101.5557086,600.0077513
31,0,101.5490996,600.4958156
32,0,104.8168423,607.6155628
33,0,100.5482632,600.5949611
34,0,136.5165071,637.595836
35,0,102.6193509,608.1967107
36,1,150.0723834,605.1148252
37,0,100.544096,600.8609709
38,1,153.1109953,606.0292474
39,0,100.4048164,601.959675
40,1,152.1361157,605.2670281
41,1,152.6004146,605.2138063
42,1,167.5956358,605.5189585
43,0,100.2384177,609.7851695
44,1,150.9635433,621.5937558
45,1,150.2868134,605.2211754
46,1,150.083769,606.1483297
47,1,150.0171161,605.08195
48,0,101.5375095,600.1502511
49,0,103.7563341,600.2168413
50,1,154.0802079,605.0371866
51,0,100.0469823,600.0066142
52,1,150.0833013,611.8209947
53,1,150.0812244,607.7577173
54,1,150.2197912,605.125019
55,0,101.4541699,610.970276
56,0,103.6982641,692.4620351
57,0,100.1664481,600.0017036
58,0,100.0018334,617.7367313
59,0,108.1532096,621.5361762
60,0,103.8714399,601.4626618
61,0,100.2139708,600.2704388
62,0,100.0942264,600.0636737
63,1,150.5168613,605.1108779
64,0,101.2684992,600.2035689
65,1,154.9088597,605.0051703
66,1,171.2893982,605.1987622
67,1,150.1545027,616.786839
68,0,101.895704,600.1514878
69,0,118.8250282,650.0494821
70,1,150.1376622,605.8823882
71,0,100.6125777,601.3199208
72,1,150.0202981,608.2827373
73,1,151.8819885,605.095607
74,1,150.2439915,605.1444078
75,1,150.1306984,605.3468385
76,0,100.1797928,684.116163
77,1,152.6588865,607.9048352
78,0,100.0085876,600.7896421
79,1,150.3921449,605.0613299
80,1,150.1075092,605.8036529
81,0,100.120433,602.6679629
82,1,152.8411139,605.4059378
83,0,102.1681177,600.1086134
84,1,150.7902193,605.0938515
85,1,153.2626442,605.5770774
86,0,100.2659011,602.3526687
87,0,100.0116639,611.3000859
88,1,162.6762076,605.0354854
89,1,150.6019839,605.135038
90,0,100.4478955,600.005994
91,1,151.4141653,606.3167157
92,0,105.3927254,605.9909556
93,1,152.553312,606.8875912
94,1,157.6904852,626.5829893
95,1,151.1068256,609.2995485
96,0,100.3297474,600.2304291
97,1,150.5163406,642.2131947
98,0,106.1129847,603.0297651
99,1,150.1543718,609.2412889
100,0,100.1227087,600.0998
101,1,151.9930242,605.5361632
102,0,103.8475681,600.0471347
103,1,150.0242247,605.8341441
104,1,155.6200299,635.3335121
105,0,101.0265825,600.3185972
106,1,150.6711507,606.1770373
107,0,111.4192404,607.0989781
108,0,125.9110292,600.0188872
109,0,100.0801161,600.032601
110,0,109.2594035,600.0983916
111,0,100.2489378,602.1214587
112,1,151.3380253,606.2228355
113,1,152.8807116,627.5755413
114,0,101.3404304,600.0456787
115,1,150.040023,605.3336465
116,1,150.3282158,605.0052266
117,0,129.5847528,657.2192528
118,0,101.462498,615.041623
119,0,100.1590061,600.2014927
120,0,100.2362078,600.5315013
121,0,110.2435208,600.7138566
122,1,152.141237,693.978074
123,1,150.1389265,606.10075
124,0,101.0138789,602.8080652
125,1,153.7161014,610.7484503
126,0,144.2393196,605.6095885
127,1,150.1437257,605.0153345
128,1,150.4334924,611.3605876
129,0,108.9481073,600.0992303
130,1,150.364195,605.9238353
131,1,174.8432141,605.008071
132,1,159.9258413,606.7087423
133,0,100.025994,600.0810574
134,0,102.5413797,600.0043076
135,1,150.044062,605.0152775
136,0,100.0398623,600.0286728
137,0,101.1675717,603.9603369
138,1,151.1328494,607.172944
139,0,100.93057,605.5438255
140,0,116.1419051,600.2645365
141,0,101.9135752,601.5753282
142,0,100.2274577,602.7982394
143,0,101.3009493,600.808441
144,0,100.3224935,600.062865
145,1,150.860841,621.8244635
146,0,100.0800082,664.71798
147,1,150.7760504,760.6729473
148,0,101.2541525,609.3126165
149,1,150.2135604,605.6262462
150,0,101.0949485,600.7266985
151,1,150.2399582,605.4661139
152,1,150.2424845,605.5183176
153,1,150.6377777,605.8792627
154,0,102.9442379,600.0072145
155,0,100.6365188,601.0284683
156,1,151.5212326,606.8010362
157,0,108.4490434,600.0929285
158,1,150.5338852,605.0123652
159,0,100.7961542,600.4066097
160,1,153.0794777,605.0004081
161,0,100.0627901,665.4553205
162,1,153.3082427,610.620241
163,0,100.3082266,600.0870149
164,0,100.0817817,601.0385603
165,1,150.0204534,605.661242
166,0,100.2074319,600.015756
167,1,150.0761961,605.1112377
168,0,100.0748263,611.1846197
169,1,185.8750097,605.055601
170,0,100.0694796,600.1528208
171,0,108.975708,600.1552512
172,0,103.3185914,621.4909349
173,0,100.1427678,600.6205526
174,1,150.2606159,608.9979306
175,0,100.4055793,606.8797535
176,0,101.5202893,600.3866764
177,1,150.4647225,605.0595238
178,1,156.1660878,606.5299797
179,1,150.5252341,605.408054
180,0,100.0085334,636.8680833
181,0,100.8092261,600.272568
182,0,100.017004,600.4599648
183,1,157.8709951,610.5115377
184,0,100.1930299,600.1903395
185,0,100.0859894,600.9561157
186,0,100.2721739,603.4607231
187,1,153.6237431,605.3639689
188,0,100.0146865,600.0483581
189,1,151.7478683,607.185532
190,0,100.1177806,600.4967568
191,1,150.9814447,605.0064117
192,0,104.4543993,601.9619662
193,1,153.5014915,606.3902702
194,0,127.2898723,600.0150417
195,0,101.3284168,600.2685552
196,1,150.2138239,605.6454474
197,1,264.2233652,605.2486828
198,0,100.5131734,603.9733955
199,0,105.9101754,600.0194457
200,1,157.7537859,605.0920216
201,0,102.7204155,600.3247633
202,0,123.0099221,636.9574033
203,1,150.6314222,605.6783206
204,1,150.0665976,605.0777468
205,0,100.452337,646.8136285
206,0,100.3000311,600.561053
207,0,102.0577049,603.9741451
208,0,100.128316,616.5185682
209,1,154.4717678,607.7839297
210,1,150.0772629,630.8072075
211,1,197.5598502,605.1384421
212,1,174.2690579,659.4100367
213,0,100.3725631,600.0104909
214,0,101.3609024,600.0872997
215,1,150.4395382,605.230812
216,1,150.0703583,606.7909996
217,0,100.0028656,600.3061679
218,0,100.9462884,604.2964
219,0,100.9271674,602.8578615
220,0,137.0841586,605.4583812
221,1,150.0124005,645.6969261
222,0,100.2329863,600.0283477
223,0,106.9315509,611.3015225
224,0,102.1238964,600.5149608
225,1,151.3071621,605.1342886
226,1,150.2552085,605.0117655
227,0,101.5559396,600.1197209
228,0,100.5951203,600.4729831
229,1,151.2840953,605.0078236
230,1,150.2804263,605.4065363
231,1,163.6650674,608.5796516
232,1,160.2970744,605.0389714
233,1,168.9322736,605.9879546
234,0,100.4458502,600.0346613
235,0,100.5119436,600.878789
236,0,100.4627283,609.3663594
237,0,120.5552931,600.0042976
238,0,100.5171693,919.2712582
239,1,151.2396106,605.0539674
240,1,152.3131579,615.4968404
241,0,104.4462793,780.8655595
242,1,150.5549478,605.0944618
243,1,324.360407,605.1847715
244,1,150.1299652,617.8600527
245,1,150.043351,605.1295409
246,1,151.097534,605.0913733
247,1,198.8315018,657.0808959
248,1,151.1230528,687.7734207
249,0,101.2730267,600.5668912
250,0,106.6795175,899.6980559
251,0,100.8043337,716.6721706
252,0,101.2562516,600.8423549
253,1,164.2772409,605.1307265
254,0,101.2290497,600.18579
255,1,150.1911241,638.2839786
256,1,152.3841276,608.8575857
257,1,150.090596,609.9812727
258,0,100.0404276,600.9687009
259,1,150.7634047,606.579643
260,1,150.08874,605.2948506
261,1,153.589564,622.0831371
262,1,150.7237679,605.4425829
263,1,150.1852709,750.4243957
