Z_3,cal_int,prod
1,2151.9233,984.5069
0,922.26202,536.19269
0,1078.7133,427.44086
1,2060.1394,885.3396
0,1223.6838,543.6264
0,886.98657,484.36356
0,1082.9476,598.38544
1,1729.4844,745.78564
1,1198.4299,500.55933
0,1006.9366,338.19693
0,1405.9175,526.52295
1,1776.693,744.96185
0,1814.7571,807.17316
0,798.80206,411.13248
0,1850.6241,852.96808
0,1326.584,565.09094
0,1532.6719,633.25964
1,1640.1931,720.94421
1,1775.3232,775.94049
1,919.41821,418.11414
1,1744.7449,728.99957
0,1870.5652,839.75592
0,1713.9653,815.60504
0,1047.5054,444.8468
0,1045.1809,380.36655
1,1899.4103,849.66913
0,1416.6013,638.14355
0,863.27435,269.00177
0,1784.6431,898.06146
1,913.97284,407.04883
0,799.61664,348.01993
1,908.04004,315.45148
0,1555.6978,668.3866
1,2045.6755,803.56152
1,1607.0151,622.25696
1,2073.4285,960.31299
1,1586.7014,766.40674
1,1288.394,490.58133
1,1459.4178,596.25146
1,1700.4194,791.48682
1,1511.554,647.95404
0,1471.6069,748.10437
1,1260.3285,562.43158
0,864.41168,417.52737
1,2067.2891,855.65015
0,840.83917,323.24158
1,1184.4623,506.73471
0,2079.4033,890.93176
0,853.44189,305.9758
1,862.43842,384.06439
0,1597.5109,819.77094
1,1745.6255,734.42322
0,904.36859,376.00165
0,1847.1698,780.74554
1,1480.4709,604.98254
1,1174.8097,425.64938
1,1380.724,574.9599
0,1291.1436,459.53665
1,1403.8807,665.61334
0,1687.5254,689.98047
1,1981.043,823.48883
1,2044.3187,832.36792
1,987.58197,340.46545
0,950.78223,360.43579
1,1027.495,469.68954
1,1407.4241,692.12299
0,1213.5328,555.22498
0,935.93262,507.6265
0,1729.884,808.05804
1,1453.9686,625.00092
1,1316.6881,533.31891
0,1207.9037,553.75037
1,1477.6993,589.98627
1,1177.8905,590.71094
1,855.59943,355.25873
0,2017.9984,1022.744
0,968.20203,375.97916
0,922.67706,377.42584
0,1216.1429,543.83307
0,1772.8947,696.94312
1,991.41217,442.61755
1,1212.3694,430.08295
1,1355.1152,544.90912
0,1696.8871,762.67279
1,2082.2505,889.73053
1,1745.7714,780.41144
1,1898.0138,825.41888
1,1456.8447,561.09613
1,2060.1475,866.86475
0,1005.7817,492.22916
0,1361.8209,633.7215
0,1791.158,815.65369
1,1565.8674,731.14764
0,1092.1957,449.65189
1,1901.116,837.92065
1,2034.798,935.00781
0,1899.8706,873.09778
1,1149.3124,426.97168
0,1577.6588,742.01251
1,1783.7753,835.2085
0,1422.8723,635.26166
1,917.77417,258.03619
0,1529.6913,613.95288
0,2002.7303,916.33881
1,924.2533,438.53442
1,1839.1847,823.82031
1,2120.1304,932.8894
1,1909.3685,837.33887
0,985.98029,457.8158
1,1880.6976,762.1485
0,1493.8987,743.7804
1,1120.9075,355.3808
0,1608.6202,594.40985
0,1745.5337,813.73157
1,1616.2101,630.80096
1,1308.8041,489.94244
1,1433.5881,590.46228
1,1933.4008,838.12878
1,1079.0958,527.72607
1,1221.5059,547.70258
0,864.12994,276.93942
0,1218.4751,509.28204
1,1822.0952,832.09644
1,1349.6034,647.09125
0,1371.8682,642.16986
0,1495.3977,638.60077
1,871.4328,402.24503
0,2031.252,935.35742
1,885.42157,152.33469
1,891.88672,271.12604
1,1861.0294,838.43536
0,1622.0542,685.4436
1,1268.5311,448.08176
1,924.41199,294.17731
0,1927.8827,775.94568
1,1776.4723,729.94781
1,2087.1951,1024.8259
1,997.1662,448.46542
0,1034.7864,422.1972
1,1956.3313,794.12933
0,2049.3665,853.85773
1,2009.6345,812.87799
0,1879.548,860.63647
1,1809.46,751.2533
1,998.88477,311.99414
1,1528.0254,730.40314
0,1517.3159,668.64728
0,1492.6047,681.68707
0,2036.6216,873.55865
1,1330.312,568.78741
0,1849.0647,797.89178
1,957.48633,408.09189
1,920.58228,305.29813
0,2032.6936,1018.1854
1,1570.4418,642.31982
0,1656.4546,712.25421
0,991.42249,370.50095
0,1187.5173,517.38226
0,839.74243,368.64517
0,1266.1866,578.48755
0,1296.9221,534.08655
0,767.49915,398.83234
1,2092.0278,865.11365
1,1873.6566,846.18048
1,1986.608,803.21869
1,2170.3203,952.95679
1,1726.3721,711.9856
0,790.99316,217.48796
0,1786.8209,849.82703
0,804.14673,350.3808
1,1189.9189,492.28702
0,1625.4839,713.18549
1,2011.0848,729.31042
1,1816.291,767.67261
1,1011.1487,351.60092
0,1875.1644,731.87372
0,1625.7694,791.52356
0,1993.9299,895.25623
0,1211.7347,543.37573
1,1702.7567,724.29962
0,1810.0327,809.16217
0,1721.4329,739.22113
0,1343.2457,681.26379
1,2202.4368,892.09857
0,1478.2574,765.39777
1,1905.3879,779.50293
0,2051.5117,927.60571
0,826.19611,381.85287
0,1728.2384,834.79504
1,1929.186,958.25043
0,2002.5533,888.68604
1,931.08887,421.32544
0,1337.772,557.83496
0,2024.1285,938.59149
1,1529.0735,613.65784
1,1241.1929,498.94843
0,1979.5286,953.44928
0,1285.5131,570.97479
0,1901.5135,807.41315
1,1464.5618,613.60431
1,1500.0468,561.11884
0,923.95575,305.01135
0,1789.1487,690.37085
1,2103.5549,862.00403
0,1426.0259,632.67706
1,1332.2922,633.8634
1,983.68372,427.04941
1,1613.4205,787.22845
0,1766.7998,715.87115
0,993.71655,353.21375
0,971.93481,525.40894
1,1778.1428,803.69299
0,1382.0432,682.79456
0,1438.1273,691.63013
1,2141.0339,1079.9742
0,1124.2771,574.81305
0,1823.8328,796.14819
1,2017.1583,771.48602
0,937.27252,506.51566
1,1462.121,614.66547
1,1276.1078,632.89709
0,1256.2174,463.92853
0,1596.9806,763.83789
0,1032.7185,590.15381
1,1848.6841,794.43359
0,1582.9319,659.37854
0,1321.4559,592.44995
0,1364.8105,570.28766
0,1302.7548,525.83978
1,1134.0477,493.23175
1,1985.0789,786.94421
0,1675.6571,592.55737
1,1571.3773,710.65918
0,1391.6073,685.57715
1,1485.0031,724.23169
0,1872.1569,767.27814
1,2020.7794,811.26709
0,852.57971,365.14246
0,1881.1613,835.20807
1,886.38458,380.5437
1,1702.8036,684.28979
1,1997.5624,854.69116
0,2083.7556,945.08569
1,1171.396,449.26932
1,2080.1772,901.89557
0,1461.135,692.84436
1,1098.5994,477.22546
0,2003.8674,975.48273
1,1296.9573,587.72736
1,1881.6439,874.93433
1,1710.785,737.06348
1,1492.6821,670.66669
1,2154.428,895.65802
1,1070.1619,398.38724
1,1484.8718,579.86401
